ID,VIN_Number,Year_Made,Car_Brand,Car_Model,Model_Type,Status,Is_Certified,Distance_Traveled,Exterior_Color,Interior_Color,Type,List_Price,Online_Price,Dealer_Cost,Selling_Price,Market_Rate,Cost_Price,Final_Price,Deposit,Weekly_Rate,Monthly_Rate,Date_Added,For_Sale,Engine_Size,Cylinders_Count,Fuel_Category,Drive_Type,Transmission_Mode,Gear_Number,Has_Images,Image_Links,Video_Links,Website_Links,Features_List,Additional_Info,Stock_Availability,Condition_Status,Inspection_Complete
93650,SPT-8350,2003,Mercedes-Benz,Coupe,DIRECTOR,certified,No,123176,Gray,White,Coupe,1800.34,46910.19,15786.34,44067.22,17486.06,46487.59,42602.24,6800.98,1220.17,2626.96,2024-12-17,Yes,2.8L,8,Gasoline,FWD,Automatic,10,No,http://white.com/,https://evans-bradley.biz/,http://www.woodard.info/,Employee; style; suffer; enjoy; magazine; move,Prove idea claim never woman green pay condition.,Out of Stock,New,No
33857,MWE 082,2002,BMW,Pickup,YEAH,new,No,234922,White,Gray,Wagon,47886.97,48767.7,12267.01,13471.93,18680.15,47116.25,6142.08,803.8,636.21,2475.0,2020-02-26,Yes,1.9L,5,Gasoline,FWD,Automatic,8,Yes,http://www.hernandez-hall.com/,https://scott.com/,http://www.camacho.net/,News; also; sometimes; future; talk; force,Six play door experience.,Out of Stock,Good,No
47065,NIQ-274,1999,BMW,SUV,THAT,new,Yes,122610,Blue,Purple,Convertible,27125.47,47691.35,12774.47,36918.21,45001.54,5436.72,10619.67,5094.06,1421.19,2742.47,2022-05-24,No,1.5L,8,Diesel,FWD,Automatic,9,Yes,https://www.shaw-mathis.com/,https://www.franco.biz/,http://klein.com/,Always; pick; place; wall; end; night,Particular allow finish far black car.,Out of Stock,Good,Yes
4259,BUC 520,2014,Mercedes-Benz,Pickup,MUCH,used,Yes,170630,Purple,Gray,Crossover,42125.78,31892.15,15819.24,43620.43,39954.91,19568.85,36900.99,1020.7,1386.87,3993.99,2023-04-25,Yes,5.1L,8,Diesel,FWD,Automatic,8,No,https://hoffman-wagner.com/,http://www.mason-evans.info/,https://www.skinner-vargas.org/,View; story; word; market; mean; guy,Feeling know may prove fill effect.,Reserved,Fair,No
87681,3-50742I,2005,Audi,Crossover,BUILDING,used,Yes,15336,Yellow,Gray,Van,45763.77,21523.46,14802.91,41073.08,42769.84,11410.89,17365.26,3439.69,169.74,3627.15,2020-10-24,Yes,2.2L,7,Gasoline,4WD,Dual-Clutch,6,Yes,https://green.com/,http://www.shields.org/,http://meza.org/,Also; manage; course; describe; about; deep,Treat method analysis ever house special recent.,Available,Damaged,Yes
94209,320RCZ,1995,Lexus,Hatchback,NOW,used,Yes,16851,Silver,Red,Truck,46386.03,35291.11,8480.78,15665.64,15494.72,7928.18,45012.3,1096.3,1251.84,2504.5,2020-04-02,Yes,3.9L,7,Gasoline,4WD,Manual,9,No,http://www.sharp.com/,http://www.stewart.com/,https://www.owens.net/,Whether; world; century; hospital; case; present,Should focus technology magazine she guy.,Out of Stock,Fair,Yes
60123,P53 3YH,2001,Honda,Wagon,MEASURE,new,No,133487,Red,Blue,Van,41451.67,40705.23,31067.25,42977.78,47835.41,8320.82,37658.82,5802.7,64.19,2761.41,2020-02-04,Yes,1.5L,5,Electric,RWD,Automatic,6,No,https://www.jones.com/,http://lopez-bradford.com/,http://davis.net/,Risk; space; character; find; shoulder; happy,Often agent miss help institution.,Out of Stock,Fair,No
35374,KZM-5480,2008,Hyundai,Convertible,BETTER,certified,No,233998,White,Red,Coupe,41891.14,7149.38,23192.67,14408.55,21275.57,5720.52,1541.44,4061.37,437.79,1699.53,2022-11-29,Yes,1.3L,8,Diesel,RWD,Automatic,4,Yes,https://www.gibson.info/,http://carter-hardy.com/,http://powell.biz/,Week; baby; reason; resource; line; tv,Investment rise various require feeling once.,Available,New,Yes
62154,118 OKY,2001,Nissan,Wagon,LEADER,new,Yes,230550,Yellow,Gray,Pickup,2804.51,3992.55,45488.36,43586.71,3486.13,25113.79,10236.79,344.62,232.08,2706.81,2023-03-02,Yes,3.0L,8,Diesel,AWD,Dual-Clutch,7,No,http://reynolds.com/,https://brown.com/,https://gonzalez-miller.com/,Pm; act; father; get; window; their,Present bit business usually center teacher south.,Reserved,Fair,No
17549,6-84293W,2016,Audi,Convertible,AMOUNT,new,Yes,247663,White,Yellow,Wagon,31887.6,41768.39,8023.23,44449.64,6915.33,12050.28,11463.46,5444.02,649.98,824.23,2024-08-03,Yes,1.8L,8,Diesel,4WD,Automatic,5,Yes,http://www.goodman.com/,https://www.contreras.com/,https://www.williams.net/,Beyond; free; song; night; dog; goal,Relate movie hair everything capital.,Available,New,No
95543,UFX-1430,2004,Audi,Van,MAY,new,Yes,200780,Green,White,Pickup,4757.0,45559.18,30606.04,7949.42,47192.77,35255.82,12971.12,6806.95,344.97,2359.19,2020-12-15,No,4.8L,5,Gasoline,AWD,Dual-Clutch,7,No,http://martinez-watson.net/,https://guzman.com/,https://lowery-rodriguez.biz/,Account; opportunity; else; agree; physical; town,Care among major even sound wind body.,Available,Good,Yes
99471,3JK P70,1998,Ford,Hatchback,NOTE,certified,No,242925,Black,Gray,Hatchback,39988.44,20929.08,11267.42,35443.99,18284.55,9956.74,16219.0,1757.38,15.3,3256.73,2021-03-15,No,4.7L,6,Diesel,FWD,CVT,5,No,http://www.turner.info/,https://www.garcia-livingston.org/,https://www.andrade-rivas.org/,Serve; data; decide; sound; foot; discover,Situation tree night treatment.,Available,Fair,Yes
88110,198-VLGC,2006,Lexus,Sedan,NEED,new,No,185931,Black,Purple,Truck,6207.9,2889.95,37548.82,33346.79,38376.33,14953.33,18564.68,3194.32,927.18,371.46,2023-09-06,No,3.0L,5,Gasoline,RWD,Manual,10,No,https://www.sanchez.com/,http://www.bauer.org/,https://zavala.info/,Cause; he; enough; phone; bit; available,Low view your picture law.,Out of Stock,New,Yes
